gene	RNA_P1_1	RNA_P1_3	RNA_P1_5	RNA_P2_1	RNA_P2_3	RNA_P2_5	RNA_HYB_P1_1	RNA_HYB_P1_3	RNA_HYB_P1_5	RNA_HYB_P2_1	RNA_HYB_P2_3	RNA_HYB_P2_5
CG12659	303.293578706263	333.773729226062	413.375570364991	311.727348800383	381.990982726577	267.655436597584	309.234029822228	358.632665773231	191.740229341235	336.823491333374	281.339693159058	237.446383952981
CG12690	312.771503040834	296.025509849305	338.738314604645	285.651296809476	275.300234433867	255.377664276594	160.902259419696	275.041593299771	308.776473224847	252.61761850003	227.136633009147	224.375940799606
CG12702	815.101492773083	876.156039218413	858.328441243973	771.614083912735	729.688510644784	710.883017385326	741.658852012661	741.533707425853	898.937958340077	810.48152602093	751.099547791613	771.156146049132
CG12703	410.710054498065	413.243664756077	450.694198245163	470.554210926814	548.695276933936	532.855318730969	495.277267276252	444.920224455512	438.263381351395	623.64974567195	433.624481199281	446.573474406983
CG12708	505.489297843772	582.117277757358	680.34729289238	440.92233366442	439.146740740529	540.221982123564	563.157907968936	620.191828028896	649.92467348133	521.023838156312	549.773895806232	479.249582290421
CG12717	151.646789353132	160.92661944828	134.92119310524	178.976538664859	163.846506306662	152.244376780277	165.930455026561	159.092686320456	209.171159281348	128.940242776057	108.40612029982	174.272575378335
CG12730	685.569860200616	605.958258416363	660.252647110749	632.936898324732	670.627560697034	530.399764266772	432.424822190433	587.83399352304	610.082547903931	594.703976885488	539.449503396725	646.986936092068
CG12756	151.646789353132	170.860361389532	209.558448865585	156.456311945439	183.851021611545	165.749926333366	115.648498957906	177.968089782205	189.250096492648	210.514682083359	154.865886142601	178.629389762793
CG12758	998.34136324145	1037.08265866669	915.741714905778	846.286414613968	763.981965453155	930.655141931048	945.300774090714	1094.77340078144	1180.32297023046	892.055965328232	939.51970926511	910.5742063518
CG12772	205.355027249032	137.085638789276	212.429112548676	144.603561040482	160.036122439065	137.511049995089	155.87406381283	151.003227693992	94.6250482463239	157.886011562519	149.703689937847	169.915760993877
CG12785	668.193665587236	679.467948781627	610.01603265667	545.226541628046	551.553064834634	469.010902661821	719.031971781766	568.958590061291	674.826001967205	389.452161854213	376.840322946995	431.324624061379
CG12788	417.028670721112	429.13765186208	417.681565889626	402.993530768556	351.507911785803	433.40536293095	455.051702421328	428.741307202584	473.12524123162	413.135063588591	526.544012884842	389.934887409024
CG12795	44.2303135613301	99.3374194125185	31.5773005139923	118.527509049575	120.027091829299	122.777723209901	113.134401154474	86.2875586822811	49.8026569717494	105.257341041679	123.89270891408	178.629389762793
CG12797	281.178421925598	218.542322707541	304.290350407562	291.577672261955	249.580143327589	206.266574992633	206.156019881485	231.897813958631	323.717270316371	336.823491333374	278.758595056681	235.267976760752
CG12833	199.036411025985	317.879742120059	427.728888780442	584.340619614406	594.419883345098	675.277477654454	150.845868205965	161.789172529277	403.40152147117	826.270127177182	949.844101674616	618.667642593089
CG12848	170.602638022273	226.489316260542	186.593139400864	163.567962488414	146.699778902476	218.544347313623	170.958650633427	145.610255276349	104.585579640674	152.623144510435	227.136633009147	178.629389762793
CG12863	173.761946133797	137.085638789276	119.132542848244	91.266181968173	110.501132160307	104.361064728416	100.56391213731	134.824310441064	84.664516851974	121.045942197931	103.243924095067	100.206730842543
CG12876	868.809730668983	937.745239254175	951.625010944405	751.464407374308	881.151269381756	812.788527649543	749.201145422959	806.249376437564	866.56623130844	826.270127177182	841.437981374796	745.015259742382
CG12877	271.700497591028	311.919496955308	289.937031992111	282.095471537989	350.555315818904	305.716530792653	289.121247394766	339.757262311482	234.072487767222	223.671849713568	180.676867166367	239.62479114521
CG12878	840.375957665271	802.646348853149	757.855212335816	757.390782826786	779.223500923542	880.316275414989	729.088362995497	841.303697152241	732.099057484717	826.270127177182	882.735551012823	725.409595012319
CG12879	97.9385514572309	107.28441296552	111.955883640518	142.23301085949	110.501132160307	85.9444062469306	60.338347282386	80.8945862646385	94.6250482463239	94.7316069375113	126.473807016457	91.4931020736258
CG12892	496.011373509202	568.210039039606	564.085413727227	602.119745971843	697.300247770211	579.510853550732	487.734973865953	593.226965940683	567.750289477944	542.075306364648	562.679386318115	365.972408294503
CG12895	379.116973382829	421.190658309078	496.624817174607	433.810683121446	331.50339648092	331.499852666732	326.832714446257	404.472931323193	403.40152147117	313.140589598996	330.380557104214	383.399665832337
CG12909	439.143827501777	460.925626074086	439.211543512802	542.855991447055	552.505660801533	532.855318730969	437.453017797298	420.65184857612	428.302849957045	615.755445093824	438.786677404035	418.254180908004
CG12921	483.374141063107	439.071393803332	479.400835076065	433.810683121446	405.805881899057	518.121991945781	482.706778259088	571.655076270112	507.987101111844	523.655271682354	536.868405294348	431.324624061379
CG12935	97.9385514572309	135.098890401025	83.2492468096162	85.3398065156942	72.3972934843388	95.7666241037226	60.338347282386	97.0735035175663	64.7434540632743	115.783075145847	56.7841582522869	69.7090301513339
CG12936	213.253297527841	284.105019519803	216.735108073311	263.131070090057	237.1963957579	213.633238385227	163.416357223129	204.932951870418	204.190893584173	221.040416187526	255.528712135291	176.450982570564
CG12942	563.936497906958	462.912374462336	490.883489808426	574.85841889044	508.68624632417	514.438660249484	439.967115600731	436.830765829048	488.066038323145	539.443872838606	392.326911561255	374.68603706342
CG12964	380.696627438591	359.601458273317	344.479641970825	297.504047714434	261.01129493038	275.022099990178	193.585530864322	318.185372640912	353.598864499421	255.249052026072	211.650044394887	289.728156566482
CG12991	311.191848985072	365.561703438068	279.889709101296	215.720066470227	196.234769181234	295.894312935861	226.268802308947	188.75403461749	328.697536013546	252.61761850003	289.082987466188	265.765677451961
CG13001	518.126530289867	524.501574498098	671.73530184311	616.343047057792	716.352167108195	662.999705333464	467.622191438491	609.40588319361	567.750289477944	699.961317927167	578.165974932375	518.460911750546
CG13003	145.328173130085	123.178400071523	152.145175203781	59.2637545247877	62.8713338153469	63.8444160691484	100.56391213731	172.575117364562	104.585579640674	126.308809250015	87.757335480807	91.4931020736258
CG13005	153.226443408893	170.860361389532	170.804489143868	194.385114841304	200.99774901573	173.11658972596	138.275379188801	172.575117364562	174.309299401123	136.834543354183	144.541493733094	113.277173995918
CG13014	268.541189479504	305.959251790557	301.419686724472	218.090616651219	245.769759459992	294.666535703762	276.550758377602	307.399427805626	239.052753464397	231.566150291694	309.731772285201	248.338419914127
CG13025	216.412605639365	206.621832378038	264.1010588443	218.090616651219	213.38149658542	181.711030350653	213.698313291784	194.147007035133	186.75996364406	126.308809250015	209.068946292511	145.953281879355
CG13044	195.877102914462	202.648335601538	137.79185678833	392.326054954094	350.555315818904	213.633238385227	175.986846240292	285.827538135056	231.582354918635	168.411745666687	340.704949513721	204.770276069543
CG1307	445.462443724824	456.952129297585	493.754153491516	571.302593618953	497.25509472138	508.299774088989	613.439864037591	695.693441875891	672.335869118617	542.075306364648	601.395857853765	457.465510368129
CG13072	857.752152278651	985.427200572184	1042.05091696175	916.217644953217	904.013572587336	1025.19398880267	804.51129709848	1013.8788145168	961.191279554764	902.5816994324	1091.80449730533	877.898098468362
CG13076	236.948108364268	258.277290472548	332.996987238465	296.318772623938	289.589173937355	262.744327669188	206.156019881485	242.683758793916	239.052753464397	310.509156072954	227.136633009147	182.986204147252
CG13089	284.337730037122	301.985755014056	160.757166253052	412.475731492522	458.198660078513	395.344268735881	296.663540805064	269.648620882129	139.447439520898	421.029364166717	474.922050837308	568.564277171817
CG13097	300.13427059474	230.462813037043	172.239820985413	469.368935836318	445.814912508823	422.355367842059	346.945496873719	334.364289893839	134.467173823723	447.343699427137	454.273266018295	605.597199439714
CG13098	132.69094068399	119.204903295022	74.6372557603455	215.720066470227	232.433415923404	166.977703565465	170.958650633427	134.824310441064	64.7434540632743	142.097410406267	273.596398851928	287.549749374253
CG13109	625.543006081668	659.600464899123	490.883489808426	609.231396514817	636.334105888663	782.094096847068	827.138177329374	835.910724734598	605.102282206756	997.313306369911	820.789196555783	1228.62165641726
CG13162	173.761946133797	307.946000178807	239.700417538033	190.829289569816	244.817163493093	213.633238385227	163.416357223129	151.003227693992	181.779697946885	142.097410406267	170.352474756861	209.127090454002
CG13175	423.347286944159	298.012258237556	462.176852977524	509.668288913174	490.586922953086	467.783125429722	351.973692480585	393.686986487908	453.20417844292	442.080832375053	374.259224844618	405.183737754629
CG13189	221.15156780665	284.105019519803	274.148381735115	215.720066470227	208.618516750924	224.683233474118	196.099628667754	213.022410496882	209.171159281348	215.777549135443	263.272006442421	161.20213222496
CG13192	116.894400126372	150.992877507028	109.085219957428	165.938512669405	154.32054663767	159.611040172871	110.620303351041	129.431338023422	119.526376732199	152.623144510435	165.190278552107	95.8499164580842
CG13194	110.575783903325	186.754348495535	120.567874689789	154.085761764448	137.173819233484	142.422158923485	110.620303351041	107.859448352851	159.368502309598	94.7316069375113	123.89270891408	108.920359611459
CG13204	631.861622304715	552.316051933603	686.088620258561	606.860846333826	520.117397926961	660.544150869266	573.214299182667	533.904269346614	582.691086569468	647.332647406328	544.611699601478	514.104097366088
CG13221	85.3013190111366	71.5229419770133	106.214556274338	96.007282330156	72.3972934843388	81.0332973185345	103.078009940743	70.1086414293534	69.7237197604492	84.2058728333434	98.0817278903137	65.3522157668756
CG13240	211.67364347208	186.754348495535	152.145175203781	362.6941776917	288.636577970456	400.255377664277	296.663540805064	291.220510552699	174.309299401123	494.709502895893	699.477585744079	773.334553241361
CG13272	132.69094068399	115.231406518521	51.6719462956238	163.567962488414	203.855536916428	108.044396424713	155.87406381283	64.7156690117108	54.7829226689244	115.783075145847	149.703689937847	209.127090454002
CG13277	748.756022431088	639.732981016619	485.142162442246	912.66181968173	917.349916123925	1076.76063255083	1071.00566426235	765.802083305245	346.128465953659	1063.09914452096	1367.98199425964	1446.46237564018
CG13295	91.6199352341837	89.4036774712666	101.908560749703	86.52508160619	123.837475696895	142.422158923485	120.676694564772	59.3226965940683	69.7237197604492	123.677375723973	80.0140411736769	100.206730842543
CG13300	157.965405576179	152.979625895279	182.287143876228	206.237865746261	214.334092552319	305.716530792653	203.641922078053	213.022410496882	281.385011890384	276.300520234408	234.879927316277	224.375940799606
CG13319	401.232130163494	327.813484061311	343.04431012928	429.069582759463	382.943578693477	316.766525881544	316.776323232526	377.50806923498	249.013284858747	315.772023125038	366.515930537488	263.587270259731
CG13322	423.347286944159	389.402684097072	421.987561414261	459.886735112352	430.573377038436	354.827620076613	261.466171557006	334.364289893839	378.500192985296	399.977895958381	351.029341923228	335.474707603295
CG13329	69.5047784535187	127.151896848024	109.085219957428	133.93608522602	116.216707961702	95.7666241037226	125.704890171637	113.252420770494	89.644782549149	84.2058728333434	82.5951392760536	104.563545227001
CG13343	879.867309059316	1019.20192317244	981.766979616852	840.360039161489	825.900703301602	807.877418721147	892.504720218626	1057.02259385794	1055.81632780109	834.164427755308	874.992256705693	797.297032355882
CG13344	211.67364347208	174.833858166033	209.558448865585	291.577672261955	195.282173214335	220.999901777821	140.789476992234	202.236465661596	249.013284858747	257.880485552114	221.974436804394	204.770276069543
CG13348	303.293578706263	262.250787249049	241.135749379578	322.394824614845	325.787820679525	284.84431784697	326.832714446257	253.469703629201	258.973816253097	278.93195376045	237.461025418654	248.338419914127
CG13350	357.001816602164	305.959251790557	401.89291563263	462.257285293344	352.460507752702	360.966506237108	306.719932018795	312.792400223269	473.12524123162	394.715028906297	454.273266018295	326.761078834378
