gene	ATAC_P1_1	ATAC_P1_2	ATAC_P1_3	ATAC_P2_1	ATAC_P2_2	ATAC_P2_3	ATAC_P1_1.1	ATAC_P1_2.1	ATAC_P1_3.1	ATAC_P2_1.1	ATAC_P2_2.1	ATAC_P2_3.1
CG3977	140.980781033527	121.923047306142	140.339400341898	128.445695393826	161.879966005207	91.9388759706255	128.571604696914	130.044423174957	149.00060772158	67.8769738127324	147.74225215006	185.676971998664
CG3978	204.581133379479	517.638200843622	270.733488848543	295.98355895099	183.463961472568	302.632133403309	163.796701874151	213.272854006929	185.832218619049	144.031627358725	134.609607514499	123.264544436088
CG3980	102.820569625956	168.981065564653	108.293395539417	161.953268105258	157.832966855077	130.246740958386	51.0763909069934	128.310497532624	70.314893531532	341.040405010314	272.502376187889	246.529088872176
CG3988	256.521421128673	271.653105401405	379.02688438796	323.906536210517	283.289940509112	149.400673452266	331.115913466026	339.84942589722	241.079634965253	278.130039037538	295.48450430012	285.536856098786
CG3998	90.1004991567653	115.506044816345	99.4531183525259	212.214627172408	199.651958073089	268.155054914324	58.1214103424408	142.181902671286	150.674771853283	243.363784157845	223.254958804535	234.046603359661
CG4001	212.001174486507	171.120066394586	179.015613034547	206.630031720502	144.342969687976	226.016403427788	153.22917272098	117.906943678627	170.764741433721	137.409483572117	139.534349252835	137.307340637668
CG4016	185.501027675693	173.259067224518	150.28471217715	228.968413528124	157.832966855077	134.077527457162	107.436546390572	140.447977028953	143.97811532647	97.6766208524686	137.892768673389	117.02330167983
CG4026	403.862237396795	440.634170966058	451.959171179812	603.13630880579	628.633867986888	685.710783280915	429.746185562289	573.929387612142	477.136777535396	1067.82068559055	758.410227703642	886.256471388583
CG4030	770.624269258452	735.816285496719	629.869749565998	737.166599651521	754.090841640923	685.710783280915	604.110416589612	589.534718393136	621.114892861866	475.138816689127	508.889979627985	532.065944970963
CG4032	1577.28873817961	1582.86061414992	1584.61968575025	1407.31805388018	1524.36967988237	1739.17707044433	1486.49910087939	1423.55295235519	1424.71367607938	1329.39536516156	1286.99917428497	1248.24855125153
CG4033	106.000587243253	115.506044816345	146.969608232066	256.891390787651	171.322964022178	218.354830430236	84.5402332253684	192.465746298936	142.303951194767	359.251300423486	338.165599365693	332.346176770719
CG4036	149.460828012987	205.344079673503	151.389746825512	329.491131662422	345.343927477775	356.263144386174	125.049094979191	199.401448868267	175.78723382883	536.393646715251	480.983109777418	429.085439492712
CG4041	319.061767602193	440.634170966058	250.842865178038	323.906536210517	285.987939942533	268.155054914324	315.26461973627	256.620995065248	306.372036101675	195.353241704937	262.652892711218	288.657477476915
CG4049	342.381896795708	322.989125319781	282.888869980518	301.568154402895	277.893941642272	325.616852395965	239.53066080521	289.56558226957	267.866261072503	221.841816851369	216.688636486755	279.295613342529
CG4057	157.940874992447	224.595087142894	159.124989364042	245.72219988384	132.201972237586	176.216178943699	167.319211591875	206.337151437598	200.899695804377	115.887516265641	174.007541421182	135.747029948603
CG4063	328.601820454085	355.074137768765	309.409701541192	480.27520886387	570.626880168355	306.462919902085	167.319211591875	364.124384889878	366.641944842989	796.312790339617	661.55697351638	834.766218649458
CG4064	774.864292748182	746.51128964638	501.685730356075	720.412813295805	774.325837391574	777.649659251541	771.429628181487	964.062657137011	981.060181178042	478.449888582431	746.919163647526	672.493906986759
CG4068	175.960974823801	166.842064734721	150.28471217715	212.214627172408	175.369963172308	180.046965442475	202.544308769112	152.585456525282	174.113069697127	145.687163305377	165.799638523956	149.789826150183
CG4070	413.402290248688	327.267126979645	312.724805486276	318.321940758611	327.806931160544	432.878874361695	371.624775219849	409.20645159053	436.956838374521	205.286457384849	283.993440244004	305.820895056624
CG4078	118.720657712444	130.479050625872	140.339400341898	195.460840816691	116.013975637065	122.585167960834	165.557956733013	173.392564233275	95.4273555070792	129.131803838857	144.45909099117	110.782058923573
CG4084	466.402583870315	425.661165156532	486.215245279016	603.13630880579	416.840912463408	471.186739349456	565.362809694651	459.49029521818	510.620060169459	485.072032369039	515.456301945765	458.731342584935
CG4086	155.820863247582	201.066078013638	198.906236705052	122.86109994192	205.047956939929	134.077527457162	163.796701874151	119.64086932096	187.506382750752	173.831274398461	154.308574467841	154.470758217376
CG4089	140.980781033527	130.479050625872	137.024296396814	150.784077201448	70.1479852689231	122.585167960834	125.049094979191	107.503389824631	88.7306989802666	67.8769738127324	87.003770710591	49.929942050061
CG4096	357.221979009764	462.024179265382	337.035567750227	295.98355895099	288.685939375953	386.909436376382	281.800777417895	365.858310532211	338.181154604035	182.108954131721	292.20134314123	262.13219576282
CG4097	143.100792778392	106.950041496616	208.851548540304	111.691909038109	110.617976770225	222.185616929012	156.751682438704	161.255084736946	185.832218619049	135.753947625465	105.061157084487	159.151690284569
CG4115	452.622507528692	434.217168476261	362.451364662539	357.41410892195	477.545899715361	409.894155369039	338.160932901474	391.867195167202	420.215197057489	327.796117437098	364.430888636815	305.820895056624
CG4140	125.080692947039	117.645045646278	127.078984561561	268.060581691462	226.63195240729	264.324268415548	91.5852526608158	201.135374510599	138.955622931361	387.39541151657	326.674535309577	298.019341611302
